date,open,high,low,close,volume,symbol
2026-04-24,231.9300,232.7999,225.0000,231.9800,9816859,IBM
2026-04-24,272.7550,273.0600,269.6500,271.0600,38157110,AAPL
2026-04-24,373.5000,382.7600,370.7300,376.3000,62893307,TSLA
2026-04-24,416.9700,424.9500,415.8000,424.6200,27457404,MSFT
2026-04-24,338.7250,345.2700,335.3900,344.4000,26426061,GOOGL
